Card,Card Name,Card Type,Image,Latest Appearance,Main Keywords,Major or Minor,One Liner,Reading Journal,Times Appeared,id,_source_file
# Ace of Pentacles - Reversed,# Ace of Pentacles - Reversed (#%20Ace%20of%20Pentacles%20-%20Reversed%2013ef84a044028121a290c8bda39c4912.md),Pentacles,50_Ace_of_Pentacles.jpg,,"Financial Instability, Lack of Growth, Missed Opportunities",Minor,"The Ace of Pentacles signifies a new opportunity for prosperity, growth, and material well-being. It marks the start of a stable and fruitful venture or financial gain.",,0,50.0,card_list_all
# Knight of Pentacles - Reversed,# Knight of Pentacles - Reversed (#%20Knight%20of%20Pentacles%20-%20Reversed%2013ef84a0440281afbad5ec6a960d96e0.md),Pentacles,61_Knight_of_Pentacles.jpg,,"Financial Struggle, Lack of Growth, Mental Confusion",Minor,"The Knight of Pentacles represents diligence, reliability, and a methodical approach to tasks. It suggests a commitment to practicality and a focus on achieving your goals with patience.",,0,61.0,card_list_all
# Ten of Wands - Reversed,# Ten of Wands - Reversed (#%20Ten%20of%20Wands%20-%20Reversed%2013ef84a044028147864bcd3f7da1c079.md),Wands,31_Ten_of_Wands.jpg,,"Burdens, Overwhelmed, Responsibilities",Minor,"The Ten of Wands represents burdens, responsibilities, and feeling overwhelmed by the weight of your obligations. It suggests a need to reassess and prioritize your commitments.",,0,31.0,card_list_all
# VIII Strength - Reversed,# VIII Strength - Reversed (#%20VIII%20Strength%20-%20Reversed%2013ef84a0440281c083b7f57e7982c5fb.md),Major Card,8_Strength.jpg,,"Emotional Setbacks, Inner Turmoil, lack of courage",Major,"Strength embodies inner courage, compassion, and patience. It encourages you to conquer challenges with a gentle yet powerful approach.",,0,8.0,card_list_all
# Four of Pentacles - Reversed,# Four of Pentacles - Reversed (#%20Four%20of%20Pentacles%20-%20Reversed%2013ef84a044028109af39e143df4a48d6.md),Pentacles,53_Four_of_Pentacles.jpg,,"Financial Stability, Material Well-Being, letting go",Minor,"The Four of Pentacles represents stability, possessions, and holding onto what you have. It advises you to be mindful of your resources and avoid excessive attachment to material things.",,0,53.0,card_list_all
# Seven of Wands - Reversed,# Seven of Wands - Reversed (#%20Seven%20of%20Wands%20-%20Reversed%2013ef84a0440281779810d11cf4571946.md),Wands,28_Seven_of_Wands.jpg,,"Emotional Setbacks, Feeling Trapped, Lack of Growth",Minor,"The Seven of Wands symbolizes courage, determination, and standing your ground. It encourages you to defend your beliefs and maintain your position against opposition.",,0,28.0,card_list_all
# Three of Cups - Reversed,# Three of Cups - Reversed (#%20Three%20of%20Cups%20-%20Reversed%2013ef84a044028114bb03c6e8283a2021.md),Cups,38_Three_of_Cups.jpg,,"emotional disconnect, lack of celebration, social disconnection",Minor,"The Three of Cups symbolizes celebration, joy, and social gatherings. It suggests coming together with friends and loved ones to enjoy the simple pleasures of life.",,0,38.0,card_list_all
# Five of Wands - Reversed,# Five of Wands - Reversed (#%20Five%20of%20Wands%20-%20Reversed%2013ef84a0440281598045d994ab09d00b.md),Wands,26_Five_of_Wands.jpg,,"Challenges, Competition, Conflict",Minor,"The Five of Wands represents conflict, competition, and challenges. It advises finding common ground and using your energy wisely to overcome obstacles.",,0,26.0,card_list_all
# Five of Swords - Reversed,# Five of Swords - Reversed (#%20Five%20of%20Swords%20-%20Reversed%2013ef84a04402810da97cf97c0119a3e5.md),Swords,68_Five_of_Swords.jpg,,"Conflict, Emotional Setbacks, Rivalry",Minor,"The Five of Swords signifies conflict, rivalry, and winning at a cost. It warns against excessive competition and suggests that not all victories are worth the price.",,0,68.0,card_list_all
# Ace of Cups - Reversed,# Ace of Cups - Reversed (#%20Ace%20of%20Cups%20-%20Reversed%2013ef84a04402817d9192d6ce53836258.md),Cups,36_Ace_of_Cups.jpg,,"Emotional Setbacks, Heartbreak, emotional disconnect",Minor,"The Ace of Cups signifies new emotions, love, and a heartwarming experience. It represents the start of a deep emotional connection or a surge of loving feelings.",,0,36.0,card_list_all
# Nine of Pentacles - Reversed,# Nine of Pentacles - Reversed (#%20Nine%20of%20Pentacles%20-%20Reversed%2013ef84a044028128b266f12879933068.md),Pentacles,58_Nine_of_Pentacles.jpg,,"Missed Opportunities, financial discomfort, lack of fulfillment",Minor,"The Nine of Pentacles is a card of self-sufficiency, luxury, and enjoying the fruits of your labor. It suggests a period of financial comfort and a sense of accomplishment.",,0,58.0,card_list_all
# Queen of Cups - Reversed,# Queen of Cups - Reversed (#%20Queen%20of%20Cups%20-%20Reversed%2013ef84a0440281f0aa01d9055192b3e0.md),Cups,48_Queen_of_Cups.jpg,,"Creative Block, Lack of Clarity, emotional disconnect",Minor,"The Queen of Cups embodies empathy, compassion, and emotional wisdom. She encourages you to trust your intuition, nurture others, and create a harmonious atmosphere.",,0,48.0,card_list_all
# Seven of Swords - Reversed,# Seven of Swords - Reversed (#%20Seven%20of%20Swords%20-%20Reversed%2013ef84a0440281f7b2aed8ee15543e1f.md),Swords,70_Seven_of_Swords.jpg,,"caution, deception, sneakiness",Minor,"The Seven of Swords symbolizes deception, sneakiness, and dishonesty. It advises caution in dealing with others and being aware of potential hidden agendas.",,0,70.0,card_list_all
# Page of Pentacles - Reversed,# Page of Pentacles - Reversed (#%20Page%20of%20Pentacles%20-%20Reversed%2013ef84a044028134aaf9f7fe9da03aae.md),Pentacles,60_Page_of_Pentacles.jpg,,"Lack of Clarity, Lack of Growth, Mental Confusion",Minor,"The Page of Pentacles signifies curiosity, a desire for knowledge, and the beginning of a practical venture. It encourages you to embrace a studious and methodical approach to your goals.",,0,60.0,card_list_all
# Six of Pentacles - Reversed,# Six of Pentacles - Reversed (#%20Six%20of%20Pentacles%20-%20Reversed%2013ef84a04402815e98d9ef29617c2bd5.md),Pentacles,55_Six_of_Pentacles.jpg,,"emotional detachment, imbalance in giving and receiving, lack of generosity",Minor,"The Six of Pentacles represents generosity, charity, and sharing your abundance with others. It suggests finding a balance between giving and receiving, whether materially or emotionally.",,0,55.0,card_list_all
# Nine of Cups - Reversed,# Nine of Cups - Reversed (#%20Nine%20of%20Cups%20-%20Reversed%2013ef84a0440281f4ac19f2a045a82893.md),Cups,44_Nine_of_Cups.jpg,,"emotional dissatisfaction, lack of contentment, unfulfilled desires",Minor,"The Nine of Cups is known as the ""Wish Card"" and represents contentment, fulfillment, and the realization of your desires. It signifies a time of emotional satisfaction and happiness.",,0,44.0,card_list_all
## IX The Nine of Swords - Reversed,## IX The Nine of Swords - Reversed (##%20IX%20The%20Nine%20of%20Swords%20-%20Reversed%2013ef84a0440281fa8d26f5922d3d312a.md),Swords,72_Nine_of_Swords.jpg,,"Anxiety, Emotional Setbacks, Inner Turmoil",Minor,"The Nine of Swords represents anxiety, worry, and sleepless nights. It acknowledges inner turmoil and encourages you to confront your fears to find peace of mind.",,0,72.0,card_list_all
# XV The Devil - Reversed,# XV The Devil - Reversed (#%20XV%20The%20Devil%20-%20Reversed%2013ef84a0440281388b73c84ef4ea12a4.md),Major Card,15_The_Devil.jpg,,"breaking free, liberation from materialism, overcoming temptation",Major,"The Devil card represents bondage, temptation, and materialism. It warns against being too focused on worldly desires and the need to break free.",,0,15.0,card_list_all
# Six of Cups - Reversed,# Six of Cups - Reversed (#%20Six%20of%20Cups%20-%20Reversed%2013ef84a0440281d59355f0b3e1e6c2f5.md),Cups,41_Six_of_Cups.jpg,,"Lack of Growth, emotional disconnect, lost nostalgia",Minor,"The Six of Cups symbolizes nostalgia, childhood memories, and innocence. It suggests reconnecting with your past, embracing nostalgia, and experiencing moments of pure joy.",,0,41.0,card_list_all
# XX Judgement - Reversed,# XX Judgement - Reversed (#%20XX%20Judgement%20-%20Reversed%2013ef84a0440281619920e0415bfc8283.md),Major Card,20_Judgement.jpg,,"Lack of Growth, Mental Confusion, missed opportunity",Major,"Judgement represents self-reflection, accountability, and a call to make amends. It suggests a moment of reckoning, personal growth, and embracing transformation.",,0,20.0,card_list_all
# Four of Swords - Reversed,# Four of Swords - Reversed (#%20Four%20of%20Swords%20-%20Reversed%2013ef84a044028186b9cdcd08d57e4283.md),Swords,67_Four_of_Swords.jpg,,"Recuperation, Rest, Stress Relief",Minor,"The Four of Swords represents rest, recuperation, and taking a break from stress. It advises you to give yourself time to recharge and recover, both mentally and physically.",,0,67.0,card_list_all
# Six of Wands - Reversed,# Six of Wands - Reversed (#%20Six%20of%20Wands%20-%20Reversed%2013ef84a04402814bb808c30abde2b805.md),Wands,27_Six_of_Wands.jpg,,"Financial Instability, Lack of Growth, missed opportunity",Minor,"The Six of Wands signifies victory, recognition, and success. It celebrates your achievements and suggests that you will be praised and acknowledged for your efforts.",,0,27.0,card_list_all
# Four of Wands - Reversed,# Four of Wands - Reversed (#%20Four%20of%20Wands%20-%20Reversed%2013ef84a0440281dbb2d9ea2c2ddf23be.md),Wands,25_Four_of_Wands.jpg,,"Lack of Growth, emotional disconnect, missed opportunity",Minor,"The Four of Wands symbolizes celebration, stability, and harmony. It marks a time of achievement and enjoying the fruits of your labor in a peaceful and loving environment.",,0,25.0,card_list_all
# Eight of Wands - Reversed,# Eight of Wands - Reversed (#%20Eight%20of%20Wands%20-%20Reversed%2013ef84a0440281f58002d3ba89adfe4f.md),Wands,29_Eight_of_Wands.jpg,,"communication breakdown, delayed action, lack of progress",Minor,"The Eight of Wands represents swift progress, communication, and momentum. It suggests that things are moving quickly, and it's time to take action or make decisions.",,0,29.0,card_list_all
# Six of Swords - Reversed,# Six of Swords - Reversed (#%20Six%20of%20Swords%20-%20Reversed%2013ef84a044028126bcd2d2fae91fb788.md),Swords,69_Six_of_Swords.jpg,,"Emotional Setbacks, Feeling Trapped, Lack of Clarity",Minor,"The Six of Swords represents a journey, transition, and moving away from turbulent waters toward calmer shores. It suggests leaving behind difficulties for a more peaceful future.",,0,69.0,card_list_all
# Eight of Swords - Reversed,# Eight of Swords - Reversed (#%20Eight%20of%20Swords%20-%20Reversed%2013ef84a0440281caa36dc063d87c17fb.md),Swords,71_Eight_of_Swords.jpg,,"Courage, Feeling Trapped, Self-Reflection",Minor,"The Eight of Swords signifies restriction, feeling trapped, and self-imposed limitations. It suggests that you may be holding yourself back and need to find the courage to break free.",,0,71.0,card_list_all
# Knight of Wands - Reversed,# Knight of Wands - Reversed (#%20Knight%20of%20Wands%20-%20Reversed%2013ef84a04402814fb24fd37fbec1619f.md),Wands,33_Knight_of_Wands.jpg,,"Impulsiveness, Lack of Direction, lack of focus",Minor,"The Knight of Wands represents ambition, adventure, and a go-getter attitude. It suggests a desire to pursue your goals with determination and the courage to take risks.",,0,33.0,card_list_all
# Two of Swords - Reversed,# Two of Swords - Reversed (#%20Two%20of%20Swords%20-%20Reversed%2013ef84a044028165923dd25cb4380656.md),Swords,65_Two_of_Swords.jpg,,"Choices, Conflict, Decisions",Minor,"The Two of Swords represents decisions, choices, and a temporary standstill. It advises you to weigh your options and find a balance between opposing forces before making a choice.",,0,65.0,card_list_all
# I The Magician - Reversed,# I The Magician - Reversed (#%20I%20The%20Magician%20-%20Reversed%2013ef84a044028120abeced64ce32d64b.md),Major Card,I_The_Magician.jpg,,"Creative Block, Lack of Clarity, missed opportunity",Major,The Magician symbolizes the power of manifestation and creativity. It suggests taking control of your destiny and using your skills to achieve your goals.,,0,1.0,card_list_all
# XIII Death - Reversed,# XIII Death - Reversed (#%20XIII%20Death%20-%20Reversed%2013ef84a0440281ad9679dc96f2c78771.md),Major Card,13_Death.jpg,,"Lack of Growth, Mental Confusion, stagnation",Major,"Death signifies transformation, endings, and rebirth. It represents a necessary change or letting go of the old to make way for the new and better.",,0,13.0,card_list_all
# XIX The Sun - Reversed,# XIX The Sun - Reversed (#%20XIX%20The%20Sun%20-%20Reversed%2013ef84a044028139a2f9c46831d39122.md),Major Card,19_The_Sun.jpg,,"Emotional Setbacks, Lack of Clarity, Missed Opportunities",Major,"The Sun radiates joy, success, and enlightenment. It signifies a period of happiness, clarity, and optimism, bringing positive energy into your life.",,0,19.0,card_list_all
# Four of Cups - Reversed,# Four of Cups - Reversed (#%20Four%20of%20Cups%20-%20Reversed%2013ef84a0440281c49d02e9fda89581ea.md),Cups,39_Four_of_Cups.jpg,,"New Opportunity, Self-Reflection, introspection",Minor,"The Four of Cups represents contemplation, introspection, and a period of self-reflection. It advises taking a break to reassess your current circumstances and consider new opportunities.",,0,39.0,card_list_all
# XII The Hanged Man - Reversed,# XII The Hanged Man - Reversed (#%20XII%20The%20Hanged%20Man%20-%20Reversed%2013ef84a0440281d3a385de459a407daa.md),Major Card,12_The_Hanged_Man.jpg,,"embracing change, letting go, new perspective",Major,"The Hanged Man suggests surrender, letting go, and gaining a new perspective. It advises embracing change and seeing situations from a different angle.",,0,12.0,card_list_all
# IV The Emperor - Reversed,# IV The Emperor - Reversed (#%20IV%20The%20Emperor%20-%20Reversed%2013ef84a04402813a9a66f90e6a624bce.md),Major Card,4_The_Emperor.jpg,,"feeling overwhelmed, lack of authority, loss of control",Major,"The Emperor stands for authority, leadership, and structure. It encourages you to take charge of your life and make well-considered decisions.",,0,4.0,card_list_all
# King of Cups - Reversed,# King of Cups - Reversed (#%20King%20of%20Cups%20-%20Reversed%2013ef84a0440281b1a212eed97a0d2c67.md),Cups,49_King_of_Cups.jpg,,"emotional instability, lack of emotional maturity, poor decision-making",Minor,"The King of Cups symbolizes emotional maturity, balance, and leadership in matters of the heart. It advises you to maintain emotional stability and make wise decisions based on your feelings.",,0,49.0,card_list_all
# King of Swords - Reversed,# King of Swords - Reversed (#%20King%20of%20Swords%20-%20Reversed%2013ef84a04402816ab997c10dfe6d9ea4.md),Swords,77_King_of_Swords.jpg,,"Intellectual Power, Lack of Clarity, Sharp Judgment",Minor,"The King of Swords symbolizes intellectual power, authority, and sharp judgment. It advises you to make decisions based on wisdom and truth, using your mental prowess to lead.",,0,77.0,card_list_all
# 0 The Fool - Reversed,# 0 The Fool - Reversed (#%200%20The%20Fool%20-%20Reversed%2013ef84a04402816eb8fdd4f4d75b8f1c.md),Major Card,0_The_Fool.jpg,,"Lack of Growth, emotional disconnect, stagnation",Major,"The Fool represents spontaneity, new beginnings, and embracing the unknown. It signifies a leap of faith and trusting the journey ahead.",,0,0.0,card_list_all
# VI The Lovers - Reversed,# VI The Lovers - Reversed (#%20VI%20The%20Lovers%20-%20Reversed%2013ef84a044028105bc62d4df75cb1a4f.md),Major Card,6_The_Lovers.jpg,,"Choices, Relationship Discord, emotional disconnect",Major,"The Lovers card represents love, partnerships, and choices. It indicates a significant decision, often related to matters of the heart and personal relationships.",,0,6.0,card_list_all
# Two of Cups - Reversed,# Two of Cups - Reversed (#%20Two%20of%20Cups%20-%20Reversed%2013ef84a04402817692eed1325f106bae.md),Cups,37_Two_of_Cups.jpg,,"Lack of Growth, emotional disconnect, unrequited love",Minor,"The Two of Cups represents partnership, unity, and a deep connection with someone. It signifies the formation of a meaningful bond or a romantic relationship built on mutual understanding.",,0,37.0,card_list_all
# Ace of Swords - Reversed,# Ace of Swords - Reversed (#%20Ace%20of%20Swords%20-%20Reversed%2013ef84a0440281cf8617d5c75b6e0a35.md),Swords,64_Ace_of_Swords.jpg,"Mar 17, 2024","Creative Block, Lack of Clarity, Mental Confusion",Minor,"The Ace of Swords signifies a new clarity, breakthroughs in thinking, and the triumph of truth and justice. It marks the beginning of a period of mental clarity and intellectual insight.","Untitled (https://www.notion.so/12308dd0598146e284c759411d670916?pvs=21), Sample Journal Entry: How can I best showcase the new template? (Sample%20Journal%20Entry%20How%20can%20I%20best%20showcase%20the%20n%2013ef84a044028110badfdc421fc7cdff.md)",1,64.0,card_list_all
# Knight of Swords - Reversed,# Knight of Swords - Reversed (#%20Knight%20of%20Swords%20-%20Reversed%2013ef84a04402810dbf0ef05b998b0fd1.md),Swords,75_Knight_of_Swords.jpg,,"Determination, Fearlessness, Lack of Clarity",Minor,"The Knight of Swords represents determination, swift action, and a fearless pursuit of your goals. It suggests charging forward with confidence and clarity of purpose.",,0,75.0,card_list_all
# III The Empress - Reversed,# III The Empress - Reversed (#%20III%20The%20Empress%20-%20Reversed%2013ef84a044028120b6a4d923ca7000e5.md),Major Card,3_The_Empress.jpg,,"Creative Block, Financial Instability, Loss",Major,"The Empress represents nurturing, abundance, and fertility. It signifies a time of growth and creativity, often related to family and nature.",,0,3.0,card_list_all
# Page of Cups - Reversed,# Page of Cups - Reversed (#%20Page%20of%20Cups%20-%20Reversed%2013ef84a0440281379540ea95c14b2e2b.md),Cups,46_Page_of_Cups.jpg,,"creative stagnation, emotional block, lack of inspiration",Minor,"The Page of Cups signifies creativity, intuition, and the emergence of new emotional experiences. It encourages you to be open to the world of feelings and artistic inspiration.",,0,46.0,card_list_all
# Queen of Wands - Reversed,# Queen of Wands - Reversed (#%20Queen%20of%20Wands%20-%20Reversed%2013ef84a0440281ce87e0d2a3563710cf.md),Wands,34_Queen_of_Wands.jpg,,"feeling overwhelmed, lack of confidence, self-doubt",Minor,"The Queen of Wands embodies charisma, confidence, and independence. She encourages you to embrace your inner power, be self-assured, and take the lead in your endeavors.",,0,34.0,card_list_all
# Three of Pentacles - Reversed,# Three of Pentacles - Reversed (#%20Three%20of%20Pentacles%20-%20Reversed%2013ef84a0440281a0bea0c19f811ce307.md),Pentacles,52_Three_of_Pentacles.jpg,,"Missed Opportunities, lack of collaboration, team discord",Minor,"The Three of Pentacles symbolizes collaboration, teamwork, and the recognition of your skills. It indicates the success that comes from working together with others on a common goal.",,0,52.0,card_list_all
# Knight of Cups - Reversed,# Knight of Cups - Reversed (#%20Knight%20of%20Cups%20-%20Reversed%2013ef84a04402810492b0ed79382ae4e7.md),Cups,47_Knight_of_Cups.jpg,,"Lack of Clarity, emotional disconnect, unrequited love",Minor,"The Knight of Cups represents romance, charm, and pursuing your heart's desires with a gentle and idealistic approach. It suggests following your emotional passions.",,0,47.0,card_list_all
# X The Wheel - Reversed,# X The Wheel - Reversed (#%20X%20The%20Wheel%20-%20Reversed%2013ef84a0440281beaa41cdd428b4ce2e.md),Major Card,10_The_Wheel.jpg,,"change, cycles, fate",Major,"The Wheel of Fortune signifies cycles, fate, and change. It reminds us that life is ever-changing, and we must adapt to both good and challenging times.",,0,10.0,card_list_all
# Three of Swords - Reversed,# Three of Swords - Reversed (#%20Three%20of%20Swords%20-%20Reversed%2013ef84a0440281e6b134fb9d1d4b499d.md),Swords,66_Three_of_Swords.jpg,,"Emotional Growth, Healing, Recovery",Minor,"The Three of Swords symbolizes heartbreak, sorrow, and emotional pain. It acknowledges the pain of loss but encourages the process of healing and emotional growth.",,0,66.0,card_list_all
# V The Hierophant - Reversed,# V The Hierophant - Reversed (#%20V%20The%20Hierophant%20-%20Reversed%2013ef84a044028153883ffa02538e3b7b.md),Major Card,5_The_Hierophant.jpg,,"lack of guidance, questioning authority, spiritual disconnection",Major,"The Hierophant signifies tradition, spirituality, and seeking guidance from established institutions. It urges you to follow established rules and ethics.",,0,5.0,card_list_all
# XVI The Tower - Reversed,# XVI The Tower - Reversed (#%20XVI%20The%20Tower%20-%20Reversed%2013ef84a04402817787c5ed5cf2a05566.md),Major Card,16_The_Tower.jpg,,"Chaos, Sudden Upheaval, transformation",Major,"The Tower signifies sudden upheaval, chaos, and revelations that disrupt the status quo, leading to a profound transformation. It warns of the need to adapt to unforeseen changes.",,0,16.0,card_list_all
# Page of Swords - Reversed,# Page of Swords - Reversed (#%20Page%20of%20Swords%20-%20Reversed%2013ef84a0440281b89e84d9989ecaffda.md),Swords,74_Page_of_Swords.jpg,,"curiosity, exploration, pursuit of knowledge",Minor,"The Page of Swords signifies curiosity, exploration, and the pursuit of knowledge. It encourages you to be inquisitive and open to new ideas and information.",,0,74.0,card_list_all
# Ten of Swords - Reversed,# Ten of Swords - Reversed (#%20Ten%20of%20Swords%20-%20Reversed%2013ef84a04402814faa21fcecf4493157.md),Swords,73_Ten_of_Swords.jpg,,"renewal, rock bottom, transformation",Minor,"The Ten of Swords symbolizes rock bottom, betrayal, and the end of a difficult cycle. It suggests that a challenging phase is coming to a close, allowing room for transformation and renewal.",,0,73.0,card_list_all
# Five of Pentacles - Reversed,# Five of Pentacles - Reversed (#%20Five%20of%20Pentacles%20-%20Reversed%2013ef84a0440281d1bc6ddd5d3a93b350.md),Pentacles,54_Five_of_Pentacles.jpg,,"Financial Struggle, Isolation, Loss",Minor,"The Five of Pentacles signifies hardship, financial struggle, and a feeling of loss or isolation. It encourages you to seek help and support during challenging times.",,0,54.0,card_list_all
# VII The Chariot - Reversed,# VII The Chariot - Reversed (#%20VII%20The%20Chariot%20-%20Reversed%2013ef84a0440281b1acf2f2dd94b33c0f.md),Major Card,7_The_Chariot.jpg,,"Determination, Triumph, Willpower",Major,"The Chariot symbolizes determination, willpower, and triumph over obstacles. It suggests moving forward with confidence and focus to reach your goals.",,0,7.0,card_list_all
# Ace of Wands - Reversed,# Ace of Wands - Reversed (#%20Ace%20of%20Wands%20-%20Reversed%2013ef84a0440281bb8436fa3e40585438.md),Wands,22_Ace_of_Wands.jpg,,"Creative Block, Lack of Growth, Mental Confusion",Minor,"The Ace of Wands denotes new opportunities, inspiration, and potential. It marks the beginning of a creative or passionate endeavor and encourages taking the first step.",,0,22.0,card_list_all
# Eight of Pentacles - Reversed,# Eight of Pentacles - Reversed (#%20Eight%20of%20Pentacles%20-%20Reversed%2013ef84a0440281cd8d48c29ef8ade59e.md),Pentacles,57_Eight_of_Pentacles.jpg,,"Diligence, Lack of Growth, Skill Development",Minor,"The Eight of Pentacles signifies dedication, skill development, and a commitment to your craft. It encourages you to put in the effort to improve your skills and achieve mastery.",,0,57.0,card_list_all
# IX The Nine of Wands - Reversed,# IX The Nine of Wands - Reversed (#%20IX%20The%20Nine%20of%20Wands%20-%20Reversed%2013ef84a04402814f895dcb79fc0b9296.md),Wands,30_Nine_of_Wands.jpg,,"Facing Challenges, Perseverance, Resilience",Minor,"The Nine of Wands signifies resilience, perseverance, and facing challenges head-on. It advises not giving up, even when you've faced multiple obstacles and setbacks.",,0,30.0,card_list_all
# XVIII The Moon - Reversed,# XVIII The Moon - Reversed (#%20XVIII%20The%20Moon%20-%20Reversed%2013ef84a0440281bc89f5c6ecb4eddafc.md),Major Card,18_The_Moon.jpg,,"Emotional Pain, Inner Turmoil, Uncertainty",Major,"The Moon symbolizes intuition, emotions, and the hidden. It indicates a need to explore your inner world, navigate through uncertainty, and trust your instincts.",,0,18.0,card_list_all
# Ten of Pentacles - Reversed,# Ten of Pentacles - Reversed (#%20Ten%20of%20Pentacles%20-%20Reversed%2013ef84a0440281089880d421af61e58d.md),Pentacles,59_Ten_of_Pentacles.jpg,,"Financial Instability, Lack of Growth, lost potential",Minor,"The Ten of Pentacles represents generational wealth, tradition, and a strong family legacy. It signifies the importance of family and the material and emotional security it provides.",,0,59.0,card_list_all
