Task Name,% Completed,Actual Cost,Actual Revenue,Associated Team,Billable Hours,Billing Type,Budget Balance,Completion Date,Cost Variance,Created By,Created Time,Critical Task,Custom Status,Dependency status,Difference,Due Date,Duration,Duration Type,Earned Value,Forecasted Cost,Forecasted Hours,Forecasted Revenue,Individual Work,Non Billable Hours,Owner,Parent Task ID,Parent Task Name,Parent Task System ID,Phase End Date,Phase Name,Phase Start Date,Planned Cost,Planned Revenue,Planned Value,Predecessors,Priority,Project Group,Project ID,Project Name,Project Status,Schedule Status,Schedule Variance,Start Date,Successors,Tags,Task Comment,Task Description,Task ID,Task List ID,Task List Name,Task System ID,Task URL,Total Log Hours,Work Hours Per Owner,Work Hours Unit,Work hours
ADA,0,-,-,Diversity and Anit-Harrassment Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:04 AM (EST)",Yes,On Hold,Independent Tasks,00:00,"October 11, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T63,Training: Anti-Harassment and Diversity Training,2350689000000131197,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 11, 2024 9:00 AM (EDT)",,"""ADA"",""Diversity"",""Anti-Harassment"",""Training"",""HR Implementation Plan"",""Upcoming""",,"The ADA task is part of the HR Implementation Plan, focusing on mandated training related to anti-harassment and diversity. Currently on hold, it is scheduled to start on October 11, 2024, and is a critical task within the Audits project group. The task is independent and requires no billable hours at this time.",HI2-T27,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055715,0:00,0,hrs,00:00
Workplace Harrasment,0,-,-,Diversity and Anit-Harrassment Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:04 AM (EST)",Yes,In Progress,Independent Tasks,00:00,"October 11, 2024 6:00 PM (EDT)",1,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T63,Training: Anti-Harassment and Diversity Training,2350689000000131197,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 11, 2024 9:00 AM (EDT)",,"""Workplace Harassment"", ""Diversity"", ""Anti-Harassment"", ""Training"", ""HR Implementation"", ""Active"", ""Critical Task""",,"This task involves developing and implementing mandated training programs focused on anti-harassment and diversity within the workplace. The project is being led by Cody Rice-Velasquez and is currently in progress, with a critical status indicating its high priority. The training is scheduled to start on January 11, 2024, and aims to enhance workplace culture and compliance with diversity initiatives.",HI2-T29,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055731,0:00,0,hrs,08:00
Training: Workers Comp and Safety,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:43 PM (EDT)",Yes,On Hold,Independent Tasks,00:00,"November 30, 2024 6:00 PM (EST)",30,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T22,Develop Training Content for Each Mandated Topic,2350689000000055671,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"January 11, 2024 9:00 AM (EST)",,"""Training"",""Workers Comp"",""Safety"",""HR Implementation"",""Mandated Training"",""OSHA""",,"This task involves developing and implementing training content for mandated topics related to Workers Compensation and Safety. The training is a critical component of the HR Implementation Plan and is scheduled to commence on January 11, 2024, and conclude by November 30, 2024. The task is currently on hold, with a total duration of 30 days and is prioritized as a critical task within the Audits project group.",HI2-T64,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000131211,0:00,0,hrs,240:00
Workers Compensation,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:08 AM (EST)",Yes,In Progress,Independent Tasks,,"December 31, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T64,Training: Workers Comp and Safety,2350689000000131211,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"December 1, 2024",,"""Workers Compensation"",""HR Implementation Plan"",""Training"",""Safety"",""Audits"",""In Progress"",""Active""",,"This task involves the completion of mandated training related to Workers Compensation and Safety within the HR Implementation Plan. The project is currently in progress and requires coordination with the Workers Comp and Safety Team, led by Cody Rice-Velasquez. The training must be completed by December 31, 2024, with a focus on compliance and safety standards.",HI2-T37,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055795,0:00,0,hrs,72:00
OSHA,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:03 AM (EST)",Yes,In Progress,Independent Tasks,,"December 31, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T64,Training: Workers Comp and Safety,2350689000000131211,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"December 1, 2024",,"""OSHA"",""Training"",""Workers Comp"",""Safety"",""HR Implementation"",""Audits"",""In Progress""",,"This task involves the implementation of mandated training related to OSHA and safety protocols as part of the HR Implementation Plan. It is assigned to the Workers Comp and Safety Team and is currently in progress, with a start date of December 1, 2024, and a due date of December 31, 2024. The task is classified as critical and is independent, emphasizing its priority in ensuring compliance with safety regulations.",HI2-T25,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055699,0:00,0,hrs,240:00
Live Shooter Training,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:04 AM (EST)",No,On Hold,Independent Tasks,,"December 31, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T64,Training: Workers Comp and Safety,2350689000000131211,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"December 1, 2024",,"""Live Shooter Training"",""Safety"",""HR Implementation"",""Training"",""Workers Comp""",,"This task involves providing live shooter training as part of the mandated training initiatives for the Workers Comp and Safety Team. The training is currently on hold and is scheduled to start on December 1, 2024, with a due date of December 31, 2024. The project is overseen by Cody Rice-Velasquez and aims to ensure compliance with safety regulations.",HI2-T30,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055739,0:00,0,hrs,00:00
Evacuations,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:04 AM (EST)",No,On Hold,Independent Tasks,,"December 31, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T64,Training: Workers Comp and Safety,2350689000000131211,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"December 1, 2024",,"""Evacuations"",""Workers Comp"",""Safety"",""Training"",""HR Implementation Plan""",,"This task involves planning and executing evacuations as part of the HR Implementation Plan, under the oversight of the Workers Comp and Safety Team. The project is currently on hold and is scheduled to commence on January 11, 2024, with a due date of December 31, 2024. The task requires collaboration and adherence to mandated training protocols, specifically related to OSHA and safety standards.",HI2-T31,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055747,0:00,0,hrs,00:00
Train Employees on Accident Reporting Protocols,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:01 AM (EST)",No,On Hold,Independent Tasks,,"December 31, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T64,Training: Workers Comp and Safety,2350689000000131211,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"December 1, 2024",,"""Training"",""Accident Reporting"",""HR Implementation"",""Safety"",""Workers Comp"",""Compliance""",,"This task involves training employees on accident reporting protocols as part of the HR Implementation Plan. The training aims to ensure compliance with safety regulations and promote a culture of safety within the organization. The task is currently on hold and is scheduled to start on December 1, 2024, with a due date of December 31, 2024.",HI2-T19,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055647,0:00,0,hrs,00:00
Document Training Completion and Certifications,0,-,-,"HR Implementation Team, Sales Team",0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:02 AM (EST)",No,On Hold,Independent Tasks,,"December 31, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T23,Schedule and Conduct Mandated Training Sessions,2350689000000055679,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,-,-,"December 1, 2024",,"""Training"",""HR"",""Compliance"",""Implementation"",""Audits""",,"This task involves scheduling and conducting mandated training sessions for the HR Implementation Plan. The training is currently on hold and is set to start on January 11, 2024, with a completion due by December 31, 2024. It requires coordination between the HR Implementation Team and the Sales Team to ensure compliance with necessary training requirements.",HI2-T24,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055687,0:00,0,hrs,00:00
Schedule and Conduct Mandated Training Sessions,0,-,-,Workers Comp and Safety Team,0:00,Billable,-,-,-,Cody Rice-Velasquez,"November 8, 2024 4:02 AM (EST)",No,On Hold,Independent Tasks,,"December 31, 2024",-,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 30, 2024 12:00 AM (EST)",03. Mandated Training & Labor Compliance,"January 11, 2024 12:00 AM (EST)",-,-,-,,Medium,Audits,QU-5,HR Implementation Plan,Active,-,-,"December 1, 2024",,"""Training"",""Safety"",""Compliance"",""HR"",""Workers Compensation""",,"This task involves scheduling and conducting mandated training sessions for the Workers Comp and Safety Team. It is currently on hold and is part of the HR Implementation Plan, with a start date of December 1, 2024, and a due date of December 31, 2024. The task is independent and aims to ensure compliance with safety regulations.",HI2-T23,2350689000000055300,"Mandated Training (e.g., OSHA, Safety)",2350689000000056000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055547/2350689000000055679,0:00,0,hrs,240:00
Confirm Compliance,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:36 PM (EDT)",Yes,On Hold,Independent Tasks,00:00,"December 31, 2024 6:00 PM (EST)",81,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,-,,-,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,In Progress,-,"December 10, 2024 9:00 AM (EST)",,"""Compliance"",""HR"",""Documentation"",""Employee Management"",""Audit"",""Active""",,"This task involves confirming compliance as part of the HR Implementation Plan. It is currently on hold and has a critical status, indicating its high priority. The task is set to start on December 10, 2024, and is due by December 31, 2024. It requires close attention to detail to ensure all employee documentation meets compliance standards.",HI2-T47,2350689000000056000,Employee Documentation Management,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055555/2350689000000131049,0:00,0,hrs,240:00
EEO Forms,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:38 PM (EDT)",Yes,In Progress,Independent Tasks,00:00,"November 30, 2024 6:00 PM (EST)",39,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T47,Confirm Compliance,2350689000000131049,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 23, 2024 9:00 AM (EDT)",,"""EEO Forms"",""HR Implementation"",""Compliance"",""Documentation"",""Active"",""Cody Rice-Velasquez"",""Audits""",,"This task involves the completion of EEO Forms as part of the HR Implementation Plan. It is currently in progress, with a focus on ensuring compliance and documentation management. The task is critical and scheduled to be completed by November 30, 2024.",HI2-T54,2350689000000056000,Employee Documentation Management,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055555/2350689000000131109,0:00,0,hrs,240:00
"Separate HR Folder (Coaching's, Performance ect.)",0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:39 PM (EDT)",Yes,In Progress,Independent Tasks,00:00,"October 31, 2024 6:00 PM (EDT)",5,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T47,Confirm Compliance,2350689000000131049,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"October 27, 2024 9:00 AM (EDT)",,"""HR"",""Coaching"",""Performance"",""Employee Documentation"",""Compliance"",""Implementation Plan"",""Active""",,"This task involves the creation of a separate HR folder focusing on coaching, performance, and related documentation. It is currently in progress and is critical to the overall HR Implementation Plan, with a due date set for October 31, 2024. The task is independent, and no billable hours have been logged yet.",HI2-T57,2350689000000056000,Employee Documentation Management,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055555/2350689000000131133,0:00,0,hrs,120:00
Employee Handbook Acknoledgement,0,-,-,Not Associated,0:00,Billable,-,-,-,Cody Rice-Velasquez,"August 26, 2024 8:39 PM (EDT)",Yes,In Progress,Independent Tasks,00:00,"November 23, 2024 6:00 PM (EST)",7,days,-,-,00:00,-,,0:00,Cody Rice-Velasquez,HI2-T47,Confirm Compliance,2350689000000131049,"November 8, 2024 11:59 PM (EST)",02. Document Compliance & Training,"November 8, 2024 12:00 AM (EST)",-,-,-,,High,Audits,QU-5,HR Implementation Plan,Active,Upcoming,-,"November 17, 2024 9:00 AM (EST)",,"""Employee Handbook"",""Acknowledgement"",""HR Implementation"",""Compliance"",""Audits"",""Active""",,"The task involves acknowledging the employee handbook as part of the HR Implementation Plan. It is a critical task with a duration of 7 days, scheduled to start on November 17, 2024, and due by November 23, 2024. The task is currently in progress and is essential for ensuring compliance within the organization.",HI2-T56,2350689000000056000,Employee Documentation Management,2350689000000131000,https://projects.zoho.com/portal/download/qhrpeople#task/2350689000000055067/2350689000000055555/2350689000000131125,0:00,0,hrs,00:00
