Path,Name,Description,Parent,Done,Type,Species,Governance_Layer,Notes
QiOS/realms/qiops/assets/templates/,templates,Global File Templates,assets,TRUE,Folder,QiAssets,Layer 3,Docx/PPTX masters
QiOS/realms/qiops/kb/,kb,System Ops Knowledge Base,qiops,TRUE,Folder,QiDocs,Layer 3,
QiOS/realms/qiops/kb/error_codes/,error_codes,Error Definitions,kb,TRUE,Folder,QiDocs,Layer 3,
QiOS/realms/qipersonal/,qipersonal,Personal Realm,realms,TRUE,Folder,QiRealms,Layer 2,
QiOS/realms/qiplayground/,qiplayground,Sandbox Realm,realms,TRUE,Folder,QiRealms,Layer 2,
QiOS/realms/qiresearch/,qiresearch,Source Material Realm,realms,TRUE,Folder,QiRealms,Layer 2,
QiOS/realms/qitemp/,qitemp,Processing Realm,realms,TRUE,Folder,QiRealms,Layer 2,
QiOS/realms/qivault/,qivault,Knowledge Realm,realms,TRUE,Folder,QiRealms,Layer 2,
QiOS/realms/qivault/kb/,kb,Knowledge Base Root,qivault,FALSE,Folder,QiDocs,Layer 3,Holds canonical QiEOS Genesis
QiOS/realms/qivault/kb/0.00.00-SYS_qios_genesis.md,0.00.00-SYS_qios_genesis.md,Genesis Document,kb,TRUE,File,QiDoc,Layer 4,Canonical QiEOS Genesis
QiOS/rules/,rules,Governance Logic,QiOS/,TRUE,Folder,QiRules,Layer 1,
QiOS/rules/layer1_darkmatter.yaml,layer1_darkmatter.yaml,Infrastructure Rules,rules,TRUE,File,QiRules,Layer 1,Config file
QiOS/rules/layer4_naming.yaml,layer4_naming.yaml,Naming Law Config,rules,TRUE,File,QiRules,Layer 1,Regex patterns
QiOS/rules/layer6_routing.json,layer6_routing.json,Routing Priors,rules,TRUE,File,QiRules,Layer 1,RAG weights
QiOS/security/,security,Access Control,QiOS/,TRUE,Folder,QiSecurity,Layer 1,
QiOS/sites/,sites,Web Portals,QiOS/,TRUE,Folder,QiSites,Layer 2,
QiOS/supabase/,supabase,Supabase backend configuration,QiOS/,TRUE,Folder,QiData,Layer 1,"""God Table"" store"
QiOS/system_planner.canvas,system_planner.canvas,Visual Planner,QiOS/,FALSE,File,QiDarkMatter,Layer 1,
QiOS/templates/,templates,Code Scaffolds,QiOS/,TRUE,Folder,QiTemplates,Layer 2,
QiOS/tests/,tests,Automated Tests,QiOS/,TRUE,Folder,QiDarkMatter,Layer 1,Needed for stability
QiOS/tests/integration/,integration,Integration Tests,tests,TRUE,Folder,QiDarkMatter,Layer 1,Test Worker interactions
QiOS/tests/unit/,unit,Unit Tests,tests,TRUE,Folder,QiDarkMatter,Layer 1,Test Logic/Regex
QiOS/tools/,tools,Utility Scripts,QiOS/,TRUE,Folder,QiDarkMatter,Layer 1,CLI tools
QiOS/venv/,venv,Python Virtual Env,QiOS/,TRUE,Folder,QiDarkMatter,Layer 1,
QiOS/workers/,workers,Autonomous Modules,QiOS/,TRUE,Folder,QiWorkers,Layer 1,
QiOS/workers/gina_ingest/,gina_ingest,Ingestion Worker,workers,TRUE,Folder,QiWorkers,Layer 1,Handles OCR/PDF text
QiOS/workers/gina_linter/,gina_linter,Linter Worker,workers,TRUE,Folder,QiWorkers,Layer 1,Enforces naming/meta
QiOS/workers/gina_orchestrator/,gina_orchestrator,Control Plane,workers,TRUE,Folder,QiWorkers,Layer 1,
QiOS/workers/gina_router/,gina_router,Semantic Router,workers,TRUE,Folder,QiWorkers,Layer 1,Handles embeddings/routing
QiOS/workers/qibrain_rag/,qibrain_rag,RAG + vector retrieval worker,workers,FALSE,Folder,QiWorkers,Layer 1,QiBrain semantic memory API
QiOS/workflows/,workflows,Automation Chains,QiOS/,TRUE,Folder,QiWorkflows,Layer 2,
